# OP17 card stats read from card images (prerelease leak scans), since Bandai
# has not published OP17 on its official card list yet.
# Verified against the rating guide's "a vanilla Nc would have..." notes where present.
# id	category	color	cost	power	counter	life
OP17-001	LEADER	Red	-	5000	0	5
OP17-002	CHARACTER	Red	4	6000	0	-
OP17-003	CHARACTER	Red	4	6000	0	-
OP17-004	CHARACTER	Red	3	2000	2000	-
OP17-005	CHARACTER	Red	10	12000	0	-
OP17-006	CHARACTER	Red	7	8000	2000	-
OP17-007	CHARACTER	Red	7	8000	0	-
OP17-008	CHARACTER	Red	6	8000	0	-
OP17-009	CHARACTER	Red	4	5000	1000	-
OP17-010	CHARACTER	Red	1	3000	0	-
OP17-011	CHARACTER	Red	5	6000	1000	-
OP17-012	CHARACTER	Red	2	1000	1000	-
OP17-013	CHARACTER	Red	6	6000	1000	-
OP17-014	CHARACTER	Red	1	1000	1000	-
OP17-015	CHARACTER	Red	5	6000	1000	-
OP17-016	CHARACTER	Red	3	2000	2000	-
OP17-017	EVENT	Red	1	-	0	-
OP17-018	EVENT	Red	1	-	0	-
OP17-019	EVENT	Red	1	-	0	-
OP17-020	LEADER	Green	-	5000	0	5
OP17-021	CHARACTER	Green	1	0	2000	-
OP17-022	CHARACTER	Green	10	12000	0	-
OP17-023	CHARACTER	Green	1	1000	2000	-
OP17-024	CHARACTER	Green	8	8000	1000	-
OP17-025	CHARACTER	Green	4	5000	1000	-
OP17-026	CHARACTER	Green	1	2000	2000	-
OP17-027	CHARACTER	Green	7	9000	0	-
OP17-028	CHARACTER	Green	4	3000	1000	-
OP17-029	CHARACTER	Green	4	4000	2000	-
OP17-030	CHARACTER	Green	4	5000	1000	-
OP17-031	CHARACTER	Green	5	6000	1000	-
OP17-032	CHARACTER	Green	1	2000	2000	-
OP17-033	CHARACTER	Green	4	5000	1000	-
OP17-034	CHARACTER	Green	5	6000	1000	-
OP17-035	CHARACTER	Green	7	8000	2000	-
OP17-036	EVENT	Green	1	-	0	-
OP17-037	EVENT	Green	1	-	0	-
OP17-038	EVENT	Green	0	-	0	-
OP17-039	LEADER	Blue	-	5000	0	5
OP17-040	CHARACTER	Blue	6	8000	0	-
OP17-041	CHARACTER	Blue	4	6000	0	-
OP17-042	CHARACTER	Blue	4	6000	0	-
OP17-043	CHARACTER	Blue	5	7000	0	-
OP17-044	CHARACTER	Blue	4	6000	0	-
OP17-045	CHARACTER	Blue	2	4000	0	-
OP17-046	CHARACTER	Blue	4	1000	0	-
OP17-047	CHARACTER	Blue	9	10000	0	-
OP17-048	CHARACTER	Blue	7	9000	0	-
OP17-049	CHARACTER	Blue	5	7000	0	-
OP17-050	CHARACTER	Blue	1	2000	0	-
OP17-051	CHARACTER	Blue	7	8000	2000	-
OP17-052	CHARACTER	Blue	3	5000	0	-
OP17-053	CHARACTER	Blue	5	7000	0	-
OP17-054	CHARACTER	Blue	3	5000	0	-
OP17-055	EVENT	Blue	0	-	0	-
OP17-056	EVENT	Blue	0	-	0	-
OP17-057	STAGE	Blue	1	-	0	-
OP17-058	LEADER	Purple	-	5000	0	5
OP17-059	CHARACTER	Purple	7	8000	0	-
OP17-060	CHARACTER	Purple	6	6000	1000	-
OP17-061	CHARACTER	Purple	9	11000	0	-
OP17-062	CHARACTER	Purple	10	12000	0	-
OP17-063	CHARACTER	Purple	10	12000	0	-
OP17-064	CHARACTER	Purple	9	10000	0	-
OP17-065	CHARACTER	Purple	9	10000	0	-
OP17-066	CHARACTER	Purple	1	0	1000	-
OP17-067	CHARACTER	Purple	2	3000	1000	-
OP17-068	CHARACTER	Purple	3	4000	2000	-
OP17-069	CHARACTER	Purple	9	10000	0	-
OP17-070	CHARACTER	Purple	6	7000	2000	-
OP17-071	CHARACTER	Purple	2	3000	1000	-
OP17-072	CHARACTER	Purple	2	1000	1000	-
OP17-073	CHARACTER	Purple	3	1000	2000	-
OP17-074	CHARACTER	Purple	3	1000	1000	-
OP17-075	CHARACTER	Purple	2	2000	2000	-
OP17-076	EVENT	Purple	0	-	0	-
OP17-077	EVENT	Purple	1	-	0	-
OP17-078	EVENT	Purple	2	-	0	-
OP17-079	LEADER	Black	-	5000	0	5
OP17-080	CHARACTER	Black	2	2000	1000	-
OP17-081	CHARACTER	Black	2	3000	2000	-
OP17-082	CHARACTER	Black	2	2000	1000	-
OP17-083	CHARACTER	Black	2	2000	1000	-
OP17-084	CHARACTER	Black	1	2000	2000	-
OP17-085	CHARACTER	Black	5	5000	1000	-
OP17-086	CHARACTER	Black	1	2000	1000	-
OP17-087	CHARACTER	Black	2	2000	1000	-
OP17-088	CHARACTER	Black	7	8000	2000	-
OP17-089	CHARACTER	Black	4	6000	0	-
OP17-090	CHARACTER	Black	2	2000	1000	-
OP17-091	CHARACTER	Black	2	2000	1000	-
OP17-092	CHARACTER	Black	5	5000	1000	-
OP17-093	CHARACTER	Black	8	8000	0	-
OP17-094	CHARACTER	Black	1	2000	2000	-
OP17-095	CHARACTER	Black	2	2000	2000	-
OP17-096	EVENT	Black	1	-	0	-
OP17-097	EVENT	Black	1	-	0	-
OP17-098	EVENT	Black	1	-	0	-
OP17-099	LEADER	Yellow	-	5000	0	5
OP17-100	CHARACTER	Yellow	7	8000	2000	-
OP17-101	CHARACTER	Yellow	5	6000	1000	-
OP17-102	CHARACTER	Yellow	4	4000	1000	-
OP17-103	CHARACTER	Yellow	6	4000	1000	-
OP17-104	CHARACTER	Yellow	3	4000	1000	-
OP17-105	CHARACTER	Yellow	5	0	1000	-
OP17-106	CHARACTER	Yellow	5	4000	1000	-
OP17-107	CHARACTER	Yellow	3	4000	2000	-
OP17-108	CHARACTER	Yellow	3	4000	1000	-
OP17-109	CHARACTER	Yellow	3	4000	1000	-
OP17-110	CHARACTER	Yellow	7	4000	1000	-
OP17-111	CHARACTER	Yellow	3	4000	1000	-
OP17-112	CHARACTER	Yellow	10	12000	0	-
OP17-113	CHARACTER	Yellow	1	2000	2000	-
OP17-114	CHARACTER	Yellow	6	4000	1000	-
OP17-115	EVENT	Yellow	1	-	0	-
OP17-116	EVENT	Yellow	1	-	0	-
OP17-117	EVENT	Yellow	1	-	0	-
OP17-118	CHARACTER	Blue	10	12000	0	-
OP17-119	CHARACTER	Black	6	8000	0	-
